id,siret,date_publi,date_disso,nom_asso,nom_asso_abrege,objet_social1,objet_social2,adresse,adrs_codeinsee,codepostal,commune,siteweb,autorisation_web,etat
W451000001,,2003-12-27,,SPRINT ASSO MOTORSPORT,SPRINT,011160,011160,5   RUE des vignes aigrettes  ,58193,58450,Neuvy-sur-Loire,,1,A
W451000002,,1999-01-30,2013-12-21,VISA,VISA,007080,007080,10   CITE1 du Chaperon Vert  ,94037,94250,Gentilly,,1,D
W451000003,,1998-11-30,,MX5 PASSION,MX5 PASSION,007030,007030,11   IMP des cèdres  ,60513,60460,Précy-sur-Oise,https://mx5passion.com,1,A
W451000004,,2005-03-05,,CLUB RENAULT 25 FRANÇAIS,CLUB RENAULT 25 FRANCAIS,007030,000000,  LD La Hervellière  ,35042,35370,Brielles,,0,A
W451000005,,2007-12-29,,ASSOCIATION SCOLAIRE POLISSONNE,ASCOP,009025,009025,Ecole primaire    RUE du 11 novembre  ,45254,45500,Poilly-lez-Gien,,0,A
W451000006,,1953-06-05,2016-03-18,ASSOCIATION POUR LE DON DU SANG BENEVOLES DE L'ARRONDISSEMENT DE MONTARGIS,ASSOCIATION POUR LE DON DU SANG BEN...,017065,000000, 13 RUE DU PORT SAINT ROCH,45208,45200,Montargis,,0,D
W451000007,,1995-03-15,,ASSOCIATION SPORTIVE DU GOLF DE MONTARGIS VAUGOUARD,ASSOCIATION SPORTIVE DU GOLF DE MON...,014000,000000,CHEM1 des Bois  ,45148,45210,Fontenay-sur-Loing,,0,A
W451000008,,1985-01-09,,ASSOCIATION DU GROS MOULIN,ASSOCIATION DU GROS MOULIN,022535,000000,3   RUE de la Mairie BP932 ,45004,45200,Amilly,,0,A
W451000009,,1979-01-25,,CLUB CYCLISTE CHATILLONNAIS,CLUB CYCLISTE CHATILLONNAIS,011180,000000,Mairie      ,45087,45360,Châtillon-sur-Loire,,0,A
W451000010,,1998-09-12,2011-08-29,LES P'TITS MONTCORBONNAIS,LES P'TITS MONTCORBONNAIS,015005,000000,Les Coutelles  ,45129,45220,Montcorbon,,0,D
W451000011,,2007-12-29,,ASSOCIATION USEP DE L'ECOLE DE STE GENEVIEVE DES BOIS,ASSOCIATION USEP DE L'ECOLE DE STE...,011400,000000,école primaire    RTE des choux  ,45278,45230,Sainte-Geneviève-des-Bois,,0,A
W451000012,,1983-03-11,,VITAGYM,VITAGYM,011105,000000,   Mairie  ,45004,45200,Amilly,,0,A
W451000013,,2005-12-10,2014-06-06,ASSOCIATION LE P'TIT ATELIER DE L'ECOLE DE PRESSIGNY-LES-PINS,ASSOCIATION LE P'TIT ATELIER DE L...,015005,000000, 9 PLACE DU BOURG,45257,45290,Pressigny-les-Pins,,0,D
W451000014,52464541300021,2005-01-29,,LES CROQUEURS DE PAVES - LES ARTS DANS LA RUE,LES CROQUEURS DE PAVES - LES ARTS DANS,006030,006040,14  RUE Roger Salengro  ,45068,45120,Châlette-sur-Loing,http://www.lescroqueursdepaves.fr/,0,A
W451000015,,2008-02-16,,ASSOCIATION SPORTIVE ET CULTURELLE SEHER,ASSOCIATION SPORTIVE ET CULTURELLE ...,006045,011000,19  RUE Albert Camus  ,45155,45500,Gien,,0,A
W451000016,,1992-09-09,,TENNIS AVENIR CORBEILLOIS,TENNIS AVENIR CORBEILLOIS,011165,011165,Mairie      ,45103,45490,Corbeilles,,0,A
W451000017,,1984-09-20,,THEATRE DE L'ESCABEAU,THEATRE DE L'ESCABEAU,006070,000000,Ferme de Rivotte  ,45053,45250,Briare,,0,A
W451000018,,1978-02-05,,UNION CYCLISTE DE LA VALLEE DU LOING,UNION CYCLISTE DE LA VALLEE DU LOING,011180,000000,Mairie      ,45085,45230,Châtillon-Coligny,,0,A
W451000019,,1980-03-16,2016-09-04,ASSOCIATION SPORTIVE DE SAINT MARTIN SUR OCRE ET SAINT BRISSON SUR LOIRE,A.S.S.M.S.B.,011005,000000,Mairie      ,45291,45500,Saint-Martin-sur-Ocre,,0,D
W451000020,,1978-02-22,,CLUB DES TOUJOURS JEUNES,CLUB DES TOUJOURS JEUNES,021020,000000,Mairie 11  AV du Château  ,45061,45120,Cepoy,,0,A
W451000021,,1984-10-11,,LA BOULE MONTCRESSONNAISE,LA BOULE MONTCRESSONNAISE,011035,000000,Mairie 25  RUE de Verdun  ,45212,45700,Montcresson,,0,A
W451000022,,1978-01-08,,SECTION D'EDUCATION PHYSIQUE ET DE GYMNASTIQUE VOLONTAIRE,SECTION D'EDUCATION PHYSIQUE ET DE...,011105,000000,Mairie      ,45016,45500,Autry-le-Châtel,,0,A
W451000023,,2006-03-18,,ASSOCIATION FEMMES SOLIDAIRES,ASSOCIATION FEMMES SOLIDAIRES,020000,000000, 463 RUE DU FAUBOURG DES MARTYRS DE LA,45083,45220,Château-Renard,,0,A
W451000024,,,,HAND BALL CLUB GIEN LOIRET,HAND BALL CLUB GIEN LOIRET,011065,000000,1  RUE des loriots  ,45155,45500,Gien,,0,A
W451000025,,1990-10-17,2018-11-24,CLUB CIBISTE INDEPENDANT PANNOIS,CLUB CIBISTE INDEPENDANT PANNOIS,005025,000000,746  RUE Marcel Donette  ,45247,45700,Pannes,,0,D
W451000026,,1984-12-12,,AMICALE DES AQUARIOPHILES DU GIENNOIS,AMICALE DES AQUARIOPHILES DU GIENNOIS,013010,000000,12  RUE Paul Bert  ,45155,45500,Gien,,0,A
W451000027,,2000-11-18,,CLUB INFORMATIQUE AMATEUR DE CEPOY - CI@C,CLUB INFORMATIQUE AMATEUR DE CEPOY ...,005000,000000,11  AV du chateau  ,45061,45120,Cepoy,,0,A
W451000028,,1957-09-05,,SOCIETE DE CHASSE DE SAINT MAURICE SUR FESSARD,SOCIETE DE CHASSE,013005,000000,29  RUE de la Mairie ,45293,45700,Saint-Maurice-sur-Fessard,,0,A
W451000029,,1961-09-18,,ASSOCIATION DES AVEUGLES DE GIEN,ASSOCIATION DES AVEUGLES DE GIEN,017000,018015,Centre Anne de Beaujeu  ,45155,45500,Gien,,0,A
W451000030,,1947-10-11,2015-05-13,CANTINE DU GROUPE SCOLAIRE D'OUZOUER SUR TREZEE,CANTINE SCOLAIRE,030000,000000,Mairie  ,45245,45250,Ouzouer-sur-Trézée,,0,D
W451000031,,1964-12-17,,AMICALE BOULISTE CORBEILLOISE,AMICALE BOULISTE CORBEILLOISE,011035,000000,Mairie  ,45103,45490,Corbeilles,,0,A
W451000032,,2005-03-12,,ASSOCIATION DU CHALLENGE,ASSOCIATION DU CHALLENGE,011000,000000,4  RUE des Vallées  ,45207,45490,Mignerette,,0,A
W451000033,,1993-07-14,,LE GARDO CARPE CLUB COULLONS,LE GARDO CARPE CLUB COULLONS,007000,013010,4  PL du Champs de Foire  ,45108,45720,Coullons,,0,A
W451000034,,1965-08-10,2015-01-15,LOISIRS ET AMITIES DE FERRIERES EN GATINAIS,LOISIRS ET AMITIES DE FERRIERES EN ...,021020,000000,mairie  ,45145,45210,Ferrières,,0,D
W451000035,,1997-03-26,,COMITE DE JUMELAGE DE GIEN,COMITE DE JUMELAGE DE GIEN,009050,000000,Maison des Associations 1  RUE Paulin Enfert  ,45155,45500,Gien,,0,A
W451000036,,2007-02-03,,L'ATELIER DE LECTURE,L'ATELIER DE LECTURE,007000,006005,Mairie 21  RUE de Verdun  ,45212,45700,Montcresson,,0,A
W451000037,,1969-05-18,2013-01-01,NAUTIC CLUB DE MONTARGIS,NAUTIC CLUB DE MONTARGIS,011095,000000,Lac des Closiers  ,45208,45200,Montargis,,0,D
W451000038,,1929-12-25,,FNATH - SECTION DE MONTARGIS (FEDERATION NATIONALE DES ACCIDENTES DU TRAVAIL ET DES HANDICAPES SECTION DE MONTARGIS),FNATH - SECTION DE MONTARGIS (FEDER...,022000,000000,32  RUE Claude Debussy  ,45068,45120,Châlette-sur-Loing,,0,A
W451000039,,2004-02-21,2007-12-21,POILLY-ESPOIR,POILLY-ESPOIR,024000,000000,24  RUE De Sully  ,45254,45500,Poilly-lez-Gien,,0,D
W451000040,,2002-02-09,,ASSOCIATION DE PARENTS D'ELEVES - REGROUPEMENTS ST-GONDON/ST-FLORENT-LE-JEUNE,ASSOCIATION DE PARENTS D'ELEVES - ...,015005,000000,mairie  ,45280,45500,Saint-Gondon,,0,A
W451000041,,1949-05-03,,COMITE DES FETES,COMITE DES FETES,009030,000000,Mairie  ,45254,45500,Poilly-lez-Gien,,0,A
W451000042,40306244100015,1982-12-15,,TENNIS CLUB DE LA VALLEE DE L'OUANNE,TENNIS CLUB DE LA VALLEE DE L'OUANNE,011165,000000,ALL des Vergers  ,45083,45220,Château-Renard,http://www.tc-vallee-ouanne.com,0,A
W451000043,,1997-04-26,2011-03-28,RESEAU SOCIAL SANTE SOINS MONTARGIS : RESEAU 3S,'RESEAU SOCIAL SANTE SOINS MONTARG...,017125,019010,4  RUE de la Poterne  ,45208,45200,Montargis,,0,D
W451000044,,1996-11-20,,ENTENTE DE CHASSE DES BROSSES,ENTENTE DE CHASSE DES BROSSES,024025,013005,Le Gue Jaune      ,45339,45270,Villemoutiers,,0,A
W451000045,,1997-04-19,,TRAINE CUL SURPRISE 45,TRAINE CUL SURPRISE 45,011160,000000,Mairie  ,45097,45220,Chuelles,,0,A
W451000046,,1971-02-17,,ASSOCIATION GESTIONNAIRE DU MILLE CLUB BONNYCHON,ASSOCIATION GESTIONNAIRE DU MILLE C...,022515,000000,PL de la Gare  ,45040,45420,Bonny-sur-Loire,,0,A
W451000047,,1976-04-29,,AMICALE DES SAPEURS POMPIERS,AMICALE DES SAPEURS POMPIERS,036000,000000,Mairie  ,45016,45500,Autry-le-Châtel,,0,A
W451000048,,1997-08-23,2010-07-03,TWIRLING CHATILLONNAIS,TWIRLING CHATILLONNAIS,014000,000000, PLACE COLIGNY,45085,45230,Châtillon-Coligny,,0,D
W451000049,,1992-09-09,2008-02-08,AIDE AUX VICTIMES ET MEDIATION - JUSTICE DANS LA CITE (AVM JUSTICE DANS LA CITE),AIDE AUX VICTIMES ET MEDIATION - JU...,014000,023040,31   AV Louis Maurice Chautemps  ,45208,45200,Montargis,,0,D
W451000050,,,2007-06-29,COMITE DES FETES,COMITE DES FETES,009030,000000,Mairie  ,45303,45490,Sceaux-du-Gâtinais,,0,D
W451000051,,2004-06-19,2007-12-14,SOLEIL DE REVES,SOLEIL DE REVES,014000,000000,31  RTE du Mesnil  ,45303,45490,Sceaux-du-Gâtinais,,0,D
W451000052,,2006-01-07,,USEP DE L'ECOLE DE ST-MAURICE-SUR-AVEYRON,USEP DE L'ECOLE DE ST-MAURICE-SUR-...,009025,000000, ROUTE DE CHAMPS,45292,45230,Saint-Maurice-sur-Aveyron,,0,A
