id,siret,date_publi,date_disso,nom_asso,nom_asso_abrege,objet_social1,objet_social2,adresse,codepostal,commune,siteweb,autorisation_web,etat
W371000001,,2006-06-03,,ASSOCIATION SPORTIVE DES FIORETTI,FIORETTI,011010,000000,INSTITUT THERAPEUTIQUE EDUCATIF 44   RTE de Loudun  ,37120,Richelieu,,0,A
W371000002,,2006-06-03,,PASSION TALBOT SAMBA,TALBOT,007030,000000,8   IMP du Puy des Bans  ,37500,Chinon,,0,A
W371000003,,2006-06-03,,"TOURAINE, TERRE ET FEU",TERRE ET FEU,006090,000000,L'ATELIER DE TERRE 14   PL de l'Eglise  ,37130,Langeais,,0,A
W371000004,40293356800022,1995-06-14,,AGIR POUR L'EMPLOI EN RICHELAIS,AGIR POUR L'EMPLOI EN RICHELAIS,030005,000000,Zone Artisanale 78   RTE de Chinon  ,37120,Champigny-sur-Veude,,0,A
W371000005,,1901-07-01,,LES AMIS DU VIEUX CRAVANT,LES AMIS DU VIEUX CRAVANT,010020,000000,VIEILLE EGLISE DU VIEUX BOURG     Sonnay  ,37500,Cravant-les-Côteaux,,0,A
W371000006,,1965-02-18,2005-12-21,ASSAD - ASSOCIATION DE SERVICES D'AIDE A DOMICILE DU CANTON D'AZAY LE RIDEAU,ASSAD - ASSOCIATION DE SERVICES D'...,017020,000000,     8 AVENUE ADELAIDE RICHE,37190,Azay-le-Rideau,,0,D
W371000007,,,2006-03-15,CLUB DE L'AMITIE DE JAULNAY,CLUB DE L'AMITIE DE JAULNAY,002000,002000,Mairie       ,37120,Jaulnay,,1,D
W371000008,,2006-06-10,,CHINON OLD RETRO VEHICLES EXCEPTIONAL TOUR',CORVET,007030,000000,Les Quinquenais 8   RUE de l'Echo 37500 ,37500,Chinon,,0,A
W371000009,,2006-06-10,2017-08-04,OFFICE DE TOURISME DU BOUCHARDAIS,OTB,034240,000000,14   RTE de Chinon 37220 ,37220,PANZOULT,,0,D
W371000010,,2006-06-10,,BALL TRAP CLUB DES JOINDIERES,BALL TRAP CLUB  DES JOINDIERES,011175,000000,  RUE Rabelais  La Meligrette,37220,Crouzilles,,0,A
W371000011,,2006-06-10,,FOURMIS SERVICES,FOURMIS SERVICES,021010,000000,   Le Domaine du Petit Marnay  ,37140,Restigné,,0,A
W371000012,,,,TEMPLERIE DES FLEURE-TRUFFES ET GOUSTE-FOIES GRAS EN RICHES LIEUX DE TOURAINE,TEMPLERIE DES FLEURE-TRUFFES ET GOU...,007060,000000,Mairie       ,37120,Richelieu,,0,A
W371000013,,2006-06-10,,LES AMIS DU CHATEAU DE CHAMPCHEVRIER,LES AMIS DU CHATEAU DE CHAMPCHEVRIER,010022,000000,   Château de Champchevrier 37340 ,37340,Cléré-les-Pins,,0,A
W371000014,,2006-06-17,,ASSOCIATION DES PRES GATEAUX ET DES VIGNES DES BODINS,ASSOCIATION DES PRES GATEAUX ET DES...,024035,000000,   Guermantes 37800 ,37800,Sainte-Catherine-de-Fierbois,,0,A
W371000015,,2006-06-17,,OXYTOCIN EVENT,OXYTOCIN EVENT,024035,000000,4    Bis rue des Déportés  ,37130,Bréhémont,,0,A
W371000016,,,,INFOS TROGLOS,INFOS TROGLOS,014035,014035,   La Peyrière  ,37190,Villaines-les-Rochers,,1,A
W371000017,,,,CHINON SKATEBOARDING,CHINON SKATEBOARDING,011130,011130,POINT JEUNES - ASSOCIATION CLAAC 6   PL TENKODOGO  ,37500,Chinon,,1,A
W371000018,,2006-06-24,2013-01-03,GROUPEMENT D'EMPLOYEURS RIVES DE VIENNE,GROUPEMENT D'EMPLOYEURS RIVES DE V...,014035,000000,23   RUE des quatre vents  ,37220,L'Île-Bouchard,,0,D
W371000019,,2006-06-24,2018-12-31,GROUPEMENT D'EMPLOYEURS DES CHEVALIERS,GROUPEMENT D'EMPLOYEURS DES CHEVAL...,014035,000000,16   RUE des Chevaliers  ,37140,Restigné,,0,D
W371000020,,2006-06-24,,FAYE LA FETE,FAYE LA FETE,009030,000000,   MAIRIE  ,37120,Faye-la-Vineuse,,0,A
W371000021,,2006-06-24,,CHARPENTIER D'IEAU,(C.I),006100,000000,Mairie de Brehemont 1   PL du 8 Mai 1945 ,37130,Bréhémont,,0,A
W371000022,,1986-01-02,,CLUB CHARLES VIII,CLUB CHARLES VIII,009040,009040,   MAIRIE  ,37130,Langeais,,1,A
W371000023,,2006-07-01,,ECOLE DE MUSIQUE DE CHOUZE SUR LOIRE,ECOLE DE MUSIQUE DE CHOUZE SUR LOIRE,006030,000000,Mairie    PL des Déportés  ,37140,Chouzé-sur-Loire,,0,A
W371000024,,,,AMICALE DES CHASSEURS DE HUISMES,AMICALE DES CHASSEURS DE HUISMES,013005,000000,     ,37420,Huismes,,0,A
W371000025,,1990-07-18,,GROUPEMENT D'INTERET CYNEGETIQUE DE LA RABELAISIE,GIC DE LA RABELAISIE,013005,000000,Mairie       ,37500,Chinon,,0,A
W371000026,,,2023-03-01,LES AMIS DE CRAVANT LES COTEAUX,LES AMIS DE CRAVANT LES COTEAUX,009040,000000,     ,37500,Cravant-les-Côteaux,,0,D
W371000027,,1949-04-16,,COMITE D'ANIMATION PANZOULTAIS,COMITE D'ANIMATION PANZOULTAIS,009030,000000,mairie       ,37220,Panzoult,,0,A
W371000028,,,,CLUB QUESTIONS POUR UN CHAMPION DE BOURGUEIL,CLUB QUESTIONS POUR UN CHAMPION DE ...,007000,000000,     ,37140,Bourgueil,,0,A
W371000029,,1985-02-06,,AMICALE DES ANCIENS COMBATTANTS DE GIZEUX,AMICALE DES ANCIENS COMBATTANTS,038105,000000,     ,37340,Gizeux,,0,A
W371000030,,1981-04-26,,LA BONNE ENTENTE,LA BONNE ENTENTE,009035,000000,7   RUE St Martin  ,37500,Ligré,,0,A
W371000031,,,,COMITE DES FETES DE SEUILLY,COMITE DES FETES DE SEUILLY,009030,000000,     ,37500,Seuilly,,0,A
W371000032,,,,COMITE DE JUMELAGE TIVERTON (DEVON) CHINON (INDRE ET LOIRE),COMITE DE JUMELAGE TIVERTON (DEVON)...,009050,000000,Mairie       ,37500,Chinon,,0,A
W371000033,,1951-10-24,,OGEC SAINT-GERMAIN-LE JOUTEUX DE BOURGUEIL,OGEC SAINT-GERMAIN-LE JOUTEUX DE BO...,015000,000000,     33 RUE VICTOR HUGO,37140,Bourgueil,,0,A
W371000034,,,2015-09-25,LA JEANNE D'ARC,LA JEANNE D'ARC,011105,000000,     ,37130,Cinq-Mars-la-Pile,,0,D
W371000035,,,,AMICALE DES CHASSEURS D'AVOINE,AMICALE DES CHASSEURS D'AVOINE,013005,000000,mairie       ,37420,Avoine,,0,A
W371000036,,,,CERCLE DE LA VERONNAISE BOULE DE FORT ET BILLARD,CERCLE DE LA VERONNAISE,007035,000000,     AVOINE,37420,Avoine,,0,A
W371000037,34950639400015,,,JUDO CLUB CHINON,CHINON JUDO CLUB,011145,000000,  PL du Général-de-Gaulle  ,37500,Chinon,https://judo-club-chinon-47.webself.net,0,A
W371000038,,,,ASSOCIATION DE DEFENSE ET DE PROTECTION DE LA VALLEE DU LYS,ASSOCIATION DE DEFENSE ET DE PROTEC...,024035,000000,     PLACE ALEXANDRE CALDER,37190,Saché,,0,A
W371000039,,1996-11-13,,GROUPE YOGA CHINON,GROUPE YOGA CHINON,011120,000000,     PLACE DU GENERAL DE GAULLE,37500,Chinon,,0,A
W371000040,,1984-01-10,,LE REVEIL DE MARCILLY,LE REVEIL DE MARCILLY,009030,000000,   Mairie  ,37800,Marcilly-sur-Vienne,,0,A
W371000041,,1905-04-05,,"SOCIETE D'HISTOIRE DE CHINON, VIENNE ET LOIRE",VIENNE ET LOIRE,006000,000000,44   RUE Haute Saint-Maurice  ,37500,Chinon,,0,A
W371000042,,,,LA RESCAPEE,LA RESCAPEE,011035,000000,     LA ROUCHOUZE,37130,Langeais,,0,A
W371000043,,1961-03-03,2010-05-11,CONNAISSANCE DE JEANNE D'ARC,CONNAISSANCE DE JEANNE D'ARC,010010,000000,   mairie  ,37500,Chinon,,0,D
W371000044,,,,1ERE COMPAGNIE D'ARC DE CLERE LES PINS,1ERE COMPAGNIE D'ARC DE CLERE LES ...,011175,000000,     17 AVENUE DES BOULEAUX,37340,Cléré-les-Pins,,0,A
W371000045,,,,BELLE TABLE,BELLE TABLE,007000,000000,     ,37800,Maillé,,0,A
W371000046,,1987-12-23,,ASSOCIATION GALIPETTES,ASSOCIATION GALIPETTES,019010,000000,28   RUE Ronsard  ,37140,Bourgueil,,0,A
W371000047,49505709300017,2006-07-08,,LANGEAIS CINQ MARS HANDBALL,LANGEAIS CINQ MARS HANDBALL,011070,000000,MAIRIE    PL du 14 juillet  ,37130,Langeais,,0,A
W371000048,,2006-07-08,,AUTRE PART,AUTRE PART,006100,000000,4   RUE Saint Crespin  ,53220,Larchamp,,0,A
W371000049,,,,HE ! MON NEUIL,HE ! MON NEUIL,006000,000000,20   RUE de l'église  ,37190,Neuil,,0,A
W371000050,,2006-07-08,,BOUILLES DE CLOWN,BOUILLES DE CLOWN,009005,000000,MAIRIE DE LANGEAIS    PL du 14 juillet  ,37130,Langeais,,0,A
W371000051,,2006-07-08,,PHOTOS LOIRE ET PATRIMOINE,PHOTOS LOIRE ET PATRIMOINE,010005,000000,3   RTE d'Avrillé  ,37130,Les Essards,,0,A
W371000052,,2006-07-08,,L'ESPERANCE JOIE ET SANTE,L'ESPERANCE JOIE ET SANTE,011105,000000,62   RTE de Tours  ,37130,Cinq-Mars-la-Pile,,0,A
W371000053,,,2006-05-06,AUTOUR D'UN FEU,AUTOUR D'UN FEU,007000,000000,     3 ROUTE DU PETIT VAUJOINT,37190,Cheillé,,0,D
W371000054,,,,LES GENTILS COMPAIGNONS PANTAGRUELISTES,LES GENTILS COMPAIGNONS PANTAGRUELI...,015000,007000,     ,37500,Lerné,,0,A
W371000055,,,2016-06-28,OFFICE DE TOURISME DU PAYS DE BOURGUEIL,OFFICE DE TOURISME DU PAYS DE BOURG...,034240,000000,   16 Place de l'Eglise  ,37140,Bourgueil,,0,D
W371000056,,,,LIRE ET DIRE,LIRE ET DIRE,015025,000000,Lire et Dire 1   PL des Droits de l'Homme  ,37500,Chinon,,0,A
W371000057,,,,ASSOCIATION DES FETES DE BEAUMONT EN VERON,ASSOCIATION DES FETES DE BEAUMONT E...,009030,000000,Mairie       ,37420,Beaumont-en-Véron,,0,A
W371000058,,,,LIVRE'S,LIVRE'S,006005,000000,16   AV Saint-Vincent  ,37140,Saint-Nicolas-de-Bourgueil,,0,A
W371000059,,,,COMITE DES OEUVRES SOCIALES DU PERSONNEL DE CINQ MARS LA PILE,COMITE DES OEUVRES SOCIALES DU PERS...,024035,000000,Mairie       ,37130,Cinq-Mars-la-Pile,,0,A
W371000060,,,,LA CARPE QUI BAILLE DE SAINT PATRICE,,0,0, ,37130,Saint-Patrice,,0,A
W371000061,,2006-07-08,2009-09-08,ACTIONS SOLIDARITE ASSOCIATIVES,A.S.A.,007080,000000,mairie       ,37220,Crouzilles,,0,D
W371000062,,1992-01-29,,ASSOCIATION DES AYANTS DROIT ET USAGERS DU MARAIS DE GRIGNY,ASSOCIATION DES AYANTS DROIT ET USA...,024035,000000,     GRIGNY,37500,Chinon,,0,A
W371000063,,,,CLUB DE L'AMITIE DE SAVIGNY EN VERON,CLUB DE L'AMITIE DE SAVIGNY EN VERON,009040,000000,   Mairie  ,37420,Savigny-en-Véron,,0,A
W371000064,,,,LA BOULE RIDELLOISE,LA BOULE RIDELLOISE,011035,000000,     ,37190,Azay-le-Rideau,,0,A
W371000065,,,,ORCHESTRE D'HARMONIE DE HUISMES,HARMONIE MUNICIPALE,006025,000000,5   RUE de la bouzinière  ,37420,Huismes,,0,A
W371000066,,,,LA PALETTE RIDELLOISE,LA PALETTE RIDELLOISE,006020,000000,Mairie       ,37190,Azay-le-Rideau,,0,A
